,CountClassCoupled,CountClassCoupled,CountClassCoupled,CountClassCoupled,MaxCyclomatic,MaxCyclomatic,MaxCyclomatic,MaxCyclomatic,MaxNesting,MaxNesting,MaxNesting,MaxNesting,CountLineBlank,CountLineBlank,CountLineBlank,CountLineBlank,CountLineCode,CountLineCode,CountLineCode,CountLineCode,CountLineComment,CountLineComment,CountLineComment,CountLineComment,RatioCommentToCode,RatioCommentToCode,RatioCommentToCode,RatioCommentToCode,CountDeclMethod,CountDeclMethod,CountDeclMethod,CountDeclMethod,Number,Number,Number,Number
,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median
Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COT,1.0491803278688525,0,5,1.0,3.442622950819672,1,8,3.0,1.8852459016393444,0,5,2.0,4.721311475409836,1,10,5.0,31.0,12,55,31.0,0.19672131147540983,0,3,0.0,0.011147540983606558,0.0,0.23,0.0,5.229508196721311,2,10,5.0,49.57377049180328,0,98,51.0
COTFewShot,0.9833333333333333,0,6,1.0,3.7666666666666666,1,14,3.0,1.9333333333333333,0,5,2.0,4.516666666666667,2,9,4.0,31.683333333333334,12,67,31.0,0.4,0,8,0.0,0.015166666666666667,0.0,0.42,0.0,5.0,2,9,5.0,49.71666666666667,0,98,50.5
FewShot,1.0819672131147542,0,6,1.0,3.442622950819672,1,14,3.0,1.7540983606557377,0,5,2.0,6.983606557377049,3,14,7.0,30.0,8,65,30.0,37.47540983606557,1,76,35.0,1.430983606557377,0.03,3.2,1.36,5.262295081967213,2,10,5.0,49.78688524590164,0,96,49.0
ZeroShot,1.1168831168831168,0,6,1.0,3.4155844155844157,1,14,3.0,1.7012987012987013,0,5,2.0,6.935064935064935,3,15,6.0,31.61038961038961,12,72,30.0,28.16883116883117,15,48,27.0,0.9919480519480519,0.26,2.23,0.91,5.233766233766234,2,10,5.0,52.103896103896105,0,98,54.0
